Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
COMM,3352,0W1,6,8,1,,,,1,,1,,1,,,,,,,,"Johnson, Janet L",,,,,
CRIM,1301,0U1,,4,2,1,1,1,,1,,,1,,,,,,,,"Escobedo, Allison E","Wang, Wenyi",,,,
CRIM,1307,0U1,1,6,1,6,2,1,,,,,,,,,,,,,"Geibler, Robert","Wang, Wenyi",,,,
CRIM,3301,0W1,5,10,7,1,5,2,2,1,1,1,,,1,,,,1,,"Manuel, Samantha A","Islam, Mohammad Touhidul",,,,
CRIM,3302,0W1,,3,,4,1,,1,3,,,,,,,,,,,"Rodriguez, Diana C","Hong, Sunmin",,,,
CRWT,2301,0W1,5,3,,,1,,,,,,,1,3,,,,,,"Brazeal Garza, Lauren E",,,,,
CRWT,3354,5W2,,3,5,1,1,,,,,,,,,,,,,,"Goldberg, Paula",,,,,
CS,1134,1U1,11,7,1,1,1,,,,,,,,,,,,,,"Nagar, Anurag","Bhardwaj, Ayush",,,,
CS,1136,1U1,7,3,1,3,1,1,2,,,,2,,1,,,,,,"Gupta, Neeraj K","Guo, Hung-Jui","Birashk, Amin",,,
CS,1325,0U1,3,,2,3,7,5,2,3,,,1,1,,,,,,,"Paulk, Mark C","Hossen, Md Helal",,,,
CS,1334,0U1,10,7,4,4,1,,,,,,,,,,1,,,,"Nagar, Anurag","Lee, Jaeseong",,,,
CS,1335,5U1,8,5,5,2,2,,,,1,,,,,,,,,,"Erbatur, Serdar","Bansal, Rishita",,,,
CS,1336,0U1,3,2,1,1,6,2,6,1,,2,,,2,,,,,,"Gupta, Neeraj K","Birashk, Amin",,,,
CS,1337,0U1,3,5,3,6,10,5,2,,,,,,,,,,,,"Dollinger, Scott M","Kushwaha, Saksham Singh",,,,
CS,1337,5U1,2,7,,3,3,1,,,2,,,,3,,,,,,"Gupta, Neeraj K","Khargonkar, Ninad Arun",,,,
CS,2305,5U1,1,10,6,5,6,3,1,,2,1,,,,,,,,,"Davis, Chris I","Cai, Yuchen",,,,
CS,2336,0U1,,3,1,3,5,,1,,,,1,,,,,,1,,"Min, Richard K","Hossen, Md Helal",,,,
CS,2336,5U1,4,2,7,1,4,4,2,1,1,,1,,,,,,,,"Khan, Kamran Z","Mahmud, Saif Uddin","Rong, Xiaokai",,,
CS,2340,0U1,10,3,4,3,1,1,3,1,1,,3,,3,,,,,,"Karami, Gity","Rathnasuriya, Ravishka S",,,,
CS,2340,0U2,3,,3,,,3,1,2,,1,,,2,,,,,,"Zhao, Yi","Rathnasuriya, Ravishka S",,,,
CS,3305,0U1,1,5,2,6,2,1,1,,,,,,1,,,,,,"Davis, Chris I","Hatfield, Cody R",,,,
CS,3305,0W1,1,4,3,1,4,,,3,,,,,,,,,,,"Farage, Timothy P","Cai, Yuchen",,,,
CS,3305,0W2,3,17,6,8,5,,,,,,1,,,,,,,,"Farage, Timothy P","Rong, Xiaokai",,,,
CS,3341,0U1,,1,1,2,4,3,,4,3,2,2,3,1,,,,,,"Guo, Huizhen","Goel, Jaidev",,,,
CS,3345,0U1,1,5,3,2,,2,1,,3,,,,1,,,,,,"Zhao, Yi","Khargonkar, Ninad Arun",,,,
CS,3354,0U1,1,2,1,6,4,4,3,2,2,1,3,,,,,,,,"Paulk, Mark C","Guo, Hung-Jui",,,,
CS,3377,0U1,3,8,11,3,5,2,3,2,,1,,,,,,,,,"Karami, Gity",Jishnu J,,,,
CS,4141,6U1,4,6,1,3,1,,,,,,,,2,,,,,,"Nguyen, Nhut","Song, Zihe",,,,
CS,4141,6U2,7,8,2,,,1,,,,,,,,,,,,,"Nguyen, Nhut","Song, Zihe",,,,
CS,4337,0U1,7,3,6,2,4,,2,3,,3,3,,,,,,,,"Omer, Jalal S","Mahmud, Saif Uddin",,,,
CS,4341,0U1,4,3,2,5,6,3,,5,5,,,4,,,,,,,"Nguyen, Nhut","Omidi, Zahra",,,,
CS,4347,0U1,9,3,,3,4,1,1,2,,1,,,1,,,,,,"Omer, Jalal S","Wang, Zilong",,,,
CS,4347,0U2,2,10,6,1,9,,,2,,,,,,,,,1,,"Khan, Kamran Z","Singhal, Yatharth","Wang, Zilong",,,
CS,4348,0U1,,4,6,2,3,3,,,1,,,,1,,,,,,"Mittal, Neeraj","Hatfield, Cody R",,,,
