Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
COMD,7V68,0U1,,38,,,,,,,,,,,,,,,,,"Sale, Felicity F",,,,,,ffs013000,,Cognitive Rehabilitation 
COMD,7V86,0U1,,41,,,,,,,,,,,,,,,,,"Rich, Judith B",,,,,,jbm014600,,Special Topics in Language 
COMD,7V86,0U2,,15,,,,,,,,,,,,,,,,,"Gollis, Christina R",,,,,,crm053000,christina gollis,Special Topics in Language 
COMD,7V89,0U1,,12,,,1,,,,,,,,,,,,,,"Walsh, Diane G",,,,,,dxg022000,diane walsh,Mild Cognitive Impairment  Alzheimer s Disease and Related Disorders 
COMM,1311,0H1,2,4,3,1,1,,,,,,,,,,,,,,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
COMM,1311,0W1,,6,4,1,1,1,,,,,1,,2,,,,,,"Sova, Melodee L",,,,,,mls230004,melodee sova,Introduction to Communication Studies 
COMM,1311,0W2,16,2,,2,,,,,,,,,1,,,,,,"Saenz, Michael A",,,,,,mas130030,michael saenz,Introduction to Communication Studies 
COMM,1311,0W3,,3,11,2,1,,1,,2,2,,,2,,,,,,"Fraley, James M",,,,,,jmf210007,james fraley,Introduction to Communication Studies 
COMM,1315,0W1,6,5,2,1,,1,,,1,1,,,2,,,,4,,"Cannon, Charles",,,,,,cxc190014,charles cannon,Public Speaking 
COMM,1315,0W2,3,3,2,2,1,,,,1,,,,1,,,,1,,"Skiles, Bradley W",,,,,,bws150030,bradley skiles,Public Speaking 
COMM,1315,0W3,1,1,,1,1,2,2,2,,1,1,,4,,,,2,,"Bromberg, Mike",,,,,,mxb210046,mike bromberg,Public Speaking 
