Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
OPRE,3333,007,9,8,7,10,12,9,3,,,,,,,,,,2,,"Shahsavand, Parisa",,,,,,pxs180098,parisa shahsavand,Quantitative Business Analysis 
OPRE,3333,0W1,1,14,9,6,6,5,7,3,1,,1,,4,,,,7,,"Enayaty Ahangar, Negin","Patel, Nirmit Pradip",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
OPRE,3333,0W2,11,11,7,6,9,2,5,6,,,2,,1,,,,2,,"Ahadi, Khatereh","Bao, Dan","Tran, Qui Anh",,,,kxa180010,khatereh ahadi,Quantitative Business Analysis 
OPRE,3333,501,6,9,13,4,6,5,,4,6,2,1,1,2,,,,2,,"Oguzman, Neslihan",,,,,,nxo170830,neslihan oguzman,Quantitative Business Analysis 
OPRE,3340,001,1,10,4,4,4,1,2,4,,3,,,4,,,,9,,"Enayaty Ahangar, Negin","Liu, Zhiyu",,,,,nxe180001,negin enayaty ahangar,Advanced Quantitative Business Methods 
OPRE,3340,002,4,8,2,6,2,2,1,,,,3,,5,,,,9,,"Enayaty Ahangar, Negin","Liu, Zhiyu",,,,,nxe180001,negin enayaty ahangar,Advanced Quantitative Business Methods 
OPRE,3360,001,9,13,8,18,5,7,5,,5,2,1,,1,,,,1,,"Chen, Qiuxia",,,,,,qxc180005,,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,002,12,16,6,8,3,6,5,2,6,2,2,3,1,,,,2,,"Ramezani, Rasoul","Sasalatti, Akshata",,,,,rxr145930,rasoul ramezani,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,003,1,9,12,8,11,7,4,9,,6,3,,2,,,,2,,"Bu, Like",,,,,,lxb190003,bu like,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,004,5,6,4,5,16,5,6,7,6,4,3,,4,,,,,,"Wang, Yining","Liu, Zhiyu",,,,,yxw220006,yining wang,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,005,3,25,,26,7,4,2,1,1,,1,1,,,,,3,,"Qin, Qi","Yan, Tianyu",,,,,jxq240004,qi qin,Managerial Methods in Decision Making Under Uncertainty 
