Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ARTS,3340,2,2,5,,,1,,2,1,2,,,,,,,,,0,"Copeland, Colette",,,,,,cxc132230,colette copeland,Topics in Studio Art 
ARTS,3341,1,,17,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi,Chinese Calligraphy 
ARTS,3363,1,3,11,3,,1,,,,,,,,,,,,1,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Typography  Technology  Image 
ARTS,3364,501,5,10,,,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,,Silkscreen Printmaking 
ARTS,3367,2,14,2,,,,,1,2,,,,,,,,,,0,"Miranda, Jeffrey R",,,,,,jxm069000,jeffrey miranda,Figure Drawing 
ARTS,3367,1,3,13,1,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge,Figure Drawing 
ARTS,3368,1,8,6,4,,,,,,,,,,,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes,Mixed Media 
ARTS,3369,1,1,11,,,,1,,,,,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Intermediate Painting 
ARTS,3371,2,2,6,2,,,1,,,,,,,,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,,Photography  Black White 
ARTS,3371,1,,3,4,,3,1,,,,,,,1,,,,,1,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller,Photography  Black White 
ARTS,3372,1,2,11,3,,,,,,,,,,1,,,,,2,"Loving, Emily A",,,,,,exl097120,emily loving,Photography  Color Concepts 
ARTS,3373,1,2,10,,2,,1,,,,,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Printmaking 
ARTS,3376,1,,6,6,2,1,,,,,,,,,,,,,0,"Kim, Laura H",,,,,,lxh210006,laura hyunjee kim,Time-Based Art 
ARTS,3377,1,,3,9,4,,,1,,,,,,1,,,,1,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  Altered Image 
ARTS,3379,501,1,10,,,,,,,,,,,,,,,,1,"Loving, Emily A",,,,,,exl097120,emily loving,Photography  New Media 
ARTS,3383,1,3,14,,1,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,,Digital Drawing 
ARTS,4310,501,4,4,2,1,1,1,,,,,,,1,,,,,0,"Avram, Danielle M",,,,,,avram,danielle avram,Studies in Contemporary Exhibitions 
