Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ARTS,3363,001,5,6,,1,2,,1,,1,,,,1,,1,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Typography  Technology  Image 
ARTS,3367,001,,5,1,2,6,,,,,,,,,,3,,1,"Lacy, Mary E",,,,,,mel024000,mary lacy,Figure Drawing 
ARTS,3367,501,17,2,,,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda,Figure Drawing 
ARTS,3368,001,,18,,,,,,,,,,,,,1,,0,"Lapthisophon, Stephen M",,,,,,sxl043100,stephen lapthisophon,Mixed Media 
ARTS,3369,001,,9,,,1,,,,,,,,,,1,,1,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Intermediate Painting 
ARTS,3371,001,3,1,2,2,1,,,,1,,,,4,,,1,0,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller,Photography  Black White 
ARTS,3371,002,2,6,3,,1,1,,,,,,,1,,2,,1,"Durant, Stephanie D",,,,,,ddm043000,,Photography  Black White 
ARTS,3372,001,,2,8,2,1,,,,,,,,1,,3,,1,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  Color Concepts 
ARTS,3372,501,,10,2,,1,,,,,,,,,,3,,0,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Color Concepts 
ARTS,3373,001,6,5,,,1,,,,,,,,,,,,2,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Printmaking 
ARTS,3377,501,,8,3,,1,,,,1,,,,3,,,1,0,"Martinez, Daniel R",,,,,,drm190002,,Photography  Altered Image 
ARTS,3379,001,,13,,,,,,,,,,,,,2,1,2,"Loving, Emily",,,,,,exl097120,emily loving,Photography  New Media 
ARTS,4310,501,3,2,,,2,1,,1,,,,,,,5,,1,"Metz, Greg L",,,,,,glmetz,greg metz,Studies in Contemporary Exhibitions 
ARTS,4366,001,3,6,4,,2,,,1,,,,,,,,,0,"Travis, Audrey",,,,,,axt190092,,Advanced Drawing 
ARTS,4368,001,7,7,,,,,,,,,,,,,1,,0,"Pomara, John",,,,,,pomara,john pomara,Advanced Visual Arts 
ATCM,1100,001,,6,2,,,,,1,,,,,2,,,,0,"Gutierrez, Alejandra",,,,,,axg173831,,First Year Seminar 
ATCM,2300,001,25,44,28,7,10,3,1,,3,,3,,5,,6,2,5,"Cooley, Heidi","Adelman, David","Andic, Atanur","Rashid, Mohammed Mizanur","Irby, Cameron L","Ramakrishnan, Sharathchandra",hxc176430,heidi cooley,Introduction to TechnoCulture 
ATCM,2301,001,8,9,5,3,2,2,,,,,,,,,,,0,"Nielsen, Christina R","Nguyen, Tuoc K",,,,,crn022000,christina nielsen,Computer Imaging 
