Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Goux, Warren J","Dickens, Angela","Zhou, Qinhan","Xu, Jing","Hammack, Audrey",,CHEM,3472,001,,,1,1,4,1,4,3,5,1,,,,,,,,,0,wgoux,warren goux,Instrumental Analysis 
"Bulla, Lee",,,,,,BIOL,1318,001,2,2,1,3,1,3,2,11,3,3,3,2,,,,,,,2,bulla,lee bulla,Human Genetics 
"Burr, John G",,,,,,BIOL,2111,001,,5,2,5,9,5,3,6,,1,,1,2,,,,,,0,burr,john burr,Introduction to Modern Biology Workshop I 
"Burr, John G",,,,,,BIOL,2111,002,2,3,1,4,9,5,1,4,2,2,4,,1,,,,,,2,burr,john burr,Introduction to Modern Biology Workshop I 
"Burr, John G",,,,,,BIOL,2111,003,,,1,2,8,5,4,7,,1,,2,1,,,,,,0,burr,john burr,Introduction to Modern Biology Workshop I 
"Burr, John G",,,,,,BIOL,2111,004,1,1,2,1,7,5,3,3,1,1,1,1,1,,,,,,0,burr,john burr,Introduction to Modern Biology Workshop I 
"Burr, John G",,,,,,BIOL,2111,005,2,,3,2,9,8,2,5,3,1,1,1,3,,,,,,1,burr,john burr,Introduction to Modern Biology Workshop I 
"Burr, John G",,,,,,BIOL,2111,006,1,9,,1,12,3,4,5,1,,1,2,,,,,,,1,burr,john burr,Introduction to Modern Biology Workshop I 
"Srikanth, Uma",,,,,,BIOL,2111,007,9,6,5,7,3,4,2,,,,1,3,,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
"Srikanth, Uma",,,,,,BIOL,2111,008,1,4,,4,,3,2,,1,,,,,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
"Srikanth, Uma",,,,,,BIOL,2111,009,6,6,9,10,3,1,2,1,,1,,1,,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
"Srikanth, Uma",,,,,,BIOL,2111,010,10,10,6,7,2,2,1,,1,1,,,,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
"Srikanth, Uma",,,,,,BIOL,2111,011,9,7,3,4,4,3,3,3,1,1,1,,1,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
"Srikanth, Uma",,,,,,BIOL,2111,012,4,3,7,4,2,5,4,2,2,,,5,1,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
"Wilson, Michelle","Cao, Lian","Zhou, Qin","Yetkin, Celal E",,,BIOL,2112,001,2,4,10,2,6,6,3,4,4,1,,,3,,,,,,1,mxw084000,michelle wilson,Introduction to Modern Biology Workshop II 
"Wilson, Michelle","Zhou, Qin","Yetkin, Celal E","Cao, Lian",,,BIOL,2112,002,1,1,11,5,6,6,4,3,1,,1,1,1,,,,,,4,mxw084000,michelle wilson,Introduction to Modern Biology Workshop II 
"Wilson, Michelle","Zhou, Qin","Yetkin, Celal E","Cao, Lian",,,BIOL,2112,003,4,8,7,2,6,4,5,2,3,2,1,,1,,,,,,1,mxw084000,michelle wilson,Introduction to Modern Biology Workshop II 
"Wilson, Michelle","Zhou, Qin","Cao, Lian","Yetkin, Celal E",,,BIOL,2112,004,4,6,10,5,3,7,4,1,,1,,,5,,,,,,0,mxw084000,michelle wilson,Introduction to Modern Biology Workshop II 
"Lin, Wen J","Thaseen, Sadiqa",,,,,BIOL,2281,301,,,8,5,5,3,1,2,,,,,,,,,,,0,wenju,wen ju lin,Introductory Biology Laboratory 
"Lin, Wen J","Phatak, Arya B",,,,,BIOL,2281,302,,4,9,1,3,3,1,2,,,,,,,,,,,0,wenju,wen ju lin,Introductory Biology Laboratory 
"Hill, Brenna R","Wang, Haozhe",,,,,BIOL,2281,303,1,7,3,1,3,3,2,,1,,,,,,,,,,1,brh140230,brenna hill,Introductory Biology Laboratory 
"Hill, Brenna R","Wang, Haozhe",,,,,BIOL,2281,304,1,4,4,6,1,2,,1,1,2,,1,,,,,,,0,brh140230,brenna hill,Introductory Biology Laboratory 
"Lin, Wen J","Chen, Hao",,,,,BIOL,2281,305,,3,4,7,5,1,1,,,1,,,1,,,,,,0,wenju,wen ju lin,Introductory Biology Laboratory 
"Srikanth, Uma","Ray, Ashvini","Sankaranarayanan, Ishwarya","Schramm, Sareda T","Upreti, Chahat","Rajeev, Sanjana",BIOL,2311,001,35,33,28,27,12,12,11,5,4,3,1,6,2,,,,,,0,ukrish,uma srikanth,Introduction to Modern Biology I 
"Burr, John G",,,,,,BIOL,2311,501,6,27,15,18,70,46,21,40,9,6,10,12,12,,,,,,5,burr,john burr,Introduction to Modern Biology I 
"Wilson, Michelle","Cao, Lian","Zhou, Qin","Yetkin, Celal E",,,BIOL,2312,001,15,24,57,21,32,36,21,15,10,5,3,2,13,,,,,,9,mxw084000,michelle wilson,Introduction to Modern Biology II 
"Hannig, Ernest",,,,,,BIOL,3101,001,,1,2,,1,2,1,5,3,4,2,,,,1,,,,3,hannig,ernest hannig,Classical and Molecular Genetics Workshop 
"Dejong, Jeff L",,,,,,BIOL,3101,002,,2,1,,3,,1,3,4,4,4,1,2,,,,,,3,dejong,jeff dejong,Classical and Molecular Genetics Workshop 
"Hannig, Ernest",,,,,,BIOL,3101,003,,,,,2,,1,2,6,4,4,,,,,,,,8,hannig,ernest hannig,Classical and Molecular Genetics Workshop 
"Dejong, Jeff L",,,,,,BIOL,3101,004,,,,,1,3,,5,3,4,2,1,1,,1,,,,8,dejong,jeff dejong,Classical and Molecular Genetics Workshop 
"Hannig, Ernest",,,,,,BIOL,3101,005,,1,1,,4,3,,2,5,3,4,3,,,,,,,4,hannig,ernest hannig,Classical and Molecular Genetics Workshop 
"Dejong, Jeff L",,,,,,BIOL,3101,006,,1,1,,2,1,1,2,2,2,7,1,,,,,,,7,dejong,jeff dejong,Classical and Molecular Genetics Workshop 
"Burr, John G",,,,,,BIOL,3102,001,4,7,5,,4,,,3,1,1,2,,,,4,,,,2,burr,john burr,Eukaryotic Molecular and Cell Biology Workshop 
"Srikanth, Uma",,,,,,BIOL,3102,002,3,8,3,3,5,1,,4,1,,4,,,,,,,,1,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
"Burr, John G",,,,,,BIOL,3102,003,,9,2,2,4,2,2,5,1,,1,,,,1,,,,0,burr,john burr,Eukaryotic Molecular and Cell Biology Workshop 
"Srikanth, Uma",,,,,,BIOL,3102,004,1,4,3,4,5,2,,5,1,,2,,1,,2,,,,2,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
"Delk, Nikki A",,,,,,BIOL,3102,005,1,3,2,1,2,3,1,2,2,1,,1,,,,,,,0,nad140230,nikki delk,Eukaryotic Molecular and Cell Biology Workshop 
"Pan, Jing","Avadhanam, Nymisha",,,,,BIOL,3102,006,3,3,4,2,1,3,1,,1,1,,,1,,,,,,0,jxp134330,jing pan,Eukaryotic Molecular and Cell Biology Workshop 
"Lee, Jiyong",,,,,,BIOL,3161,001,2,5,7,5,7,1,2,2,1,4,3,2,2,,,,,,1,jxl127631,jiyong lee,Biochemistry Workshop I 
"Marsh, Robert",,,,,,BIOL,3161,002,2,6,3,3,4,2,2,4,3,,4,2,4,,,,,,1,rmarsh,robert marsh,Biochemistry Workshop I 
"Lee, Jiyong",,,,,,BIOL,3161,003,4,1,6,3,3,4,4,5,2,2,2,,2,,,,,,1,jxl127631,jiyong lee,Biochemistry Workshop I 
"Marsh, Robert",,,,,,BIOL,3161,004,2,5,6,,7,1,3,1,4,5,2,1,5,,,,,,1,rmarsh,robert marsh,Biochemistry Workshop I 
"Lee, Jiyong",,,,,,BIOL,3161,005,4,2,5,4,1,7,1,7,4,1,1,1,2,,,,,,2,jxl127631,jiyong lee,Biochemistry Workshop I 
"Marsh, Robert",,,,,,BIOL,3161,006,13,4,7,5,,1,2,2,2,3,1,,3,,,,,,0,rmarsh,robert marsh,Biochemistry Workshop I 
"Lee, Jiyong",,,,,,BIOL,3161,007,3,3,9,1,1,3,2,6,4,,4,2,1,,,,,,2,jxl127631,jiyong lee,Biochemistry Workshop I 
"D'Arcy, Sheena",,,,,,BIOL,3161,008,1,2,6,7,6,3,2,3,3,5,5,1,1,,,,,,1,sxd156730,sheena darcy,Biochemistry Workshop I 
"Dejong, Jeff L",,,,,,BIOL,3162,001,1,3,1,,2,,3,4,2,1,1,,3,,,,,,0,dejong,jeff dejong,Biochemistry Workshop II 
"Candas, Mehmet",,,,,,BIOL,3162,002,1,2,,7,10,1,3,2,2,,,,,,,,,,0,candas,mehmet candas,Biochemistry Workshop II 
"Candas, Mehmet",,,,,,BIOL,3162,003,,,1,4,2,,5,1,,2,1,,1,,,,,,0,candas,mehmet candas,Biochemistry Workshop II 
"Dejong, Jeff L",,,,,,BIOL,3162,004,1,1,1,2,4,,4,1,2,,,,1,,1,,,,1,dejong,jeff dejong,Biochemistry Workshop II 
"Dejong, Jeff L",,,,,,BIOL,3162,005,2,1,2,1,5,,1,5,3,,,,,,,,,,1,dejong,jeff dejong,Biochemistry Workshop II 
"Candas, Mehmet",,,,,,BIOL,3162,006,1,2,1,7,3,,3,,3,2,1,,2,,,,,,3,candas,mehmet candas,Biochemistry Workshop II 
"Hannig, Ernest","Dejong, Jeff L","Slape, Coreen M","Ullrich, Morgan S","Kunder, Nikesh Prakash",,BIOL,3301,001,,5,5,,13,9,4,19,23,21,23,6,3,,2,,,,33,hannig,ernest hannig,Classical and Molecular Genetics 
"Burr, John G","Srikanth, Uma","Tandon, Neha Ramesh","Lal, Sneha","Nowak, Chance M",,BIOL,3302,001,8,28,13,9,18,5,2,17,4,1,8,1,1,,7,,,,5,burr,john burr,Eukaryotic Molecular and Cell Biology 
"Reitzer, Lawrence","Sudarshan, Sushmita",,,,,BIOL,3335,001,10,30,3,6,30,2,7,18,,2,3,2,1,,,,,,3,reitzer,,Microbial Physiology 
"Dejong, Jeff L","Candas, Mehmet","Goel, Richa","McDill, Parker M","Ambagaspitiye Gedara, Sankalya S",,BIOL,3362,001,6,8,6,20,26,1,17,13,11,5,3,,6,,1,,,,4,dejong,jeff dejong,Biochemistry II 
"Ramirez, Ruben D",,,,,,BIOL,4350,501,3,3,5,6,6,5,2,3,2,,1,,2,,,,,,1,rdr092000,ruben ramirez,Medical Microbiology 
"Borovkov, Irina G","Bairuty, Dania S",,,,,BIOL,4380,302,3,5,2,6,2,1,1,,,,,,,,,,,,0,ixb053000,irina borovkov,Cell and Molecular Biology Laboratory 
"Xuan, Zhenyu","Levene, Stephen",,,,,BIOL,5376,501,,,1,1,3,,,,,,,,,,,,,,0,zxx091000,,Applied Bioinformatics 
"Campbell, Zachary","Gonzalez, Juan E",,,,,BIOL,5420,001,,5,,,18,,,8,,,,,4,,,,,,3,zxc153030,zachary campbell,Molecular Biology 
"Xuan, Zhenyu",,,,,,BIOL,6193,001,,,,,,,,,,,,,,,,,,26,0,zxx091000,,Colloquium in Molecular and Cell Biology 
"Kim, Tae Hoon",,,,,,BIOL,6252,001,,,,,,,,,,,,,,,,,,9,0,txk142630,,Current Research in Molecular Biology 
"Griffin, William R",,,,,,GEOS,1103,101,4,4,3,7,2,1,1,1,,,,,1,,,,,,0,griffin,william griffin,Physical Geology Laboratory 
"Griffin, William R",,,,,,GEOS,1103,102,,6,4,4,3,1,1,2,,,1,,1,,,,,,0,griffin,william griffin,Physical Geology Laboratory 
"Manton, William I",,,,,,GEOS,2409,001,,,,3,4,4,,,1,,,,,,,,,,1,manton,william manton,Rocks and Minerals 
"Stern, Robert",,,,,,GEOS,3464,001,,6,4,2,5,4,1,,1,,1,,,,,,,,0,rjstern,robert stern,Igneous and Metamorphic Petrology 
"Ferguson, John F","Zhu, Hejun",,,,,GEOS,4320,001,,4,2,3,4,,,,,,,,,,,,,,0,ferguson,john ferguson,The Physics and Chemistry of the Solid Earth 
"Brikowski, Tom",,,,,,GEOS,7110,001,,8,,,,,,,,,,,,,,,,,0,brikowi,tom brikowski,Workshop in Environmental Geosciences 
"Mcmechan, George",,,,,,GEOS,7190,001,,,,,,,,,,,,,,,,,,8,0,mcmec,,Workshop in Seismology 
"Sutton, Julie","Akhavan Varnousfadera, Mohammadmehdi",,,,,MATH,1306,001,6,5,4,,3,1,3,,1,1,,1,,,,,,,2,jxs158030,julie sutton,College Algebra for the Non-Scientist 
"Rakotomalala, Diarisoa Mihaj A",,,,,,MATH,1314,002,7,1,2,6,3,3,6,4,2,2,,2,7,,,,,,3,dmr150130,diarisoa rakotomalala,College Algebra 
"McCary, Brady C",,,,,,MATH,1314,001,9,5,4,3,5,2,2,3,1,2,1,,7,,,,,,2,bcm052000,brady mccary,College Algebra 
"Sutton, Julie",,,,,,MATH,1316,001,4,1,9,3,13,6,1,2,2,,1,1,1,,,,,,1,jxs158030,julie sutton,Trigonometry 
"Ali, Ahmed T",,,,,,MATH,1325,001,4,4,4,7,4,2,2,5,1,3,3,1,3,,,,,,3,axa094420,ahmed ali,Applied Calculus I 
"Li, Changsong",,,,,,MATH,1325,002,6,5,8,4,3,5,2,4,4,4,1,,,,,,,,0,cxl109120,changsong li,Applied Calculus I 
"Mussa, Derege",,,,,,MATH,1326,002,5,3,2,3,3,8,3,1,2,,2,3,9,,,,,,3,dxm146130,derege mussa,Applied Calculus II 
"Sauter, Alan D",,,,,,MATH,2312,001,8,5,3,2,6,3,1,3,3,3,2,1,7,,,,,,0,ads014500,alan sauter,Precalculus 
"Jevtic, Filip D","Dragovic, Vladimir","Chowdhury, Md Mujibur Rahma","Zhang, Lei","Guo, Jing",,MATH,2333,002,8,3,3,3,2,,2,2,2,,,,5,,,,,,1,fdj130030,filip jevtic,Matrices  Vectors  and Their Application 
"Jevtic, Filip D","Dragovic, Vladimir","Gelir, Fatih","Zhang, Lei","Guo, Jing",,MATH,2333,001,5,4,3,,5,1,3,,2,,3,,4,,,,,,2,fdj130030,filip jevtic,Matrices  Vectors  and Their Application 
"Lewis, David L",,,,,,MATH,2414,001,2,3,2,4,2,6,4,6,4,1,1,,9,,,,,,3,dlewis,,Integral Calculus 
"Zweck, John W",,,,,,MATH,2415,001,7,9,4,4,17,,1,8,2,,4,2,7,,,,,,2,jwz120030,john zweck,Calculus of Several Variables 
"Estacio-Hiroms, Kemelli",,,,,,MATH,2417,001,15,2,3,4,,2,1,1,5,,,,8,,,,,,1,kxe160930,kemelli estacio hiroms,Calculus I 
"Estacio-Hiroms, Kemelli",,,,,,MATH,2417,002,11,2,2,1,3,2,,1,6,,,1,2,,,,,,2,kxe160930,kemelli estacio hiroms,Calculus I 
"Dahal, Rabin",,,,,,MATH,2417,003,9,4,1,1,3,6,3,1,3,,,4,8,,,,,,2,rxd153030,rabin dahal,Calculus I 
"Arnold, Maxim",,,,,,MATH,2418,001,2,2,4,2,9,9,3,3,3,6,,,7,,,,,,1,mxa149530,maxim arnold,Linear Algebra 
"Foley, Manjula",,,,,,MATH,2419,001,11,7,4,5,1,,3,2,3,,1,,4,,,,,,1,mxf091000,manjula samanmalee foley,Calculus II 
"Foley, Manjula",,,,,,MATH,2419,002,9,13,2,7,4,7,3,,10,,1,,6,,,,,,3,mxf091000,manjula samanmalee foley,Calculus II 
"Makarenkov, Oleg",,,,,,MATH,2420,002,4,8,3,6,6,7,6,6,3,6,7,,1,,,,,,0,oxm130230,oleg makarenkov,Differential Equations with Applications 
"Makarenkov, Oleg",,,,,,MATH,2420,001,3,9,8,19,5,5,8,2,9,3,7,,1,,,,,,2,oxm130230,oleg makarenkov,Differential Equations with Applications 
"McCary, Brady C",,,,,,MATH,2451,001,10,9,11,11,7,3,7,5,2,1,,1,8,,,,,,0,bcm052000,brady mccary,Multivariable Calculus with Applications 
"Dabkowska, Malgorzata A","Wu, Che-Yu",,,,,MATH,3310,001,9,11,3,2,3,2,4,1,1,2,,,1,,,,,,0,mxd066000,malgorzata dabkowska,Theoretical Concepts of Calculus 
"Dabkowska, Malgorzata A","Hu, Mengqi",,,,,MATH,3311,001,3,5,4,4,1,1,1,2,,,,1,,,,,,,0,mxd066000,malgorzata dabkowska,Abstract Algebra I 
"Dabkowski, Mieczyslaw K","Helal, Md Abu",,,,,MATH,4301,001,12,11,3,2,2,4,3,4,2,,,,4,,,,,,0,mkd034000,mieczyslaw dabkowski,Mathematical Analysis I 
"Garrett, Bentley T","Iudaev, Sergei",,,,,MATH,4334,001,4,8,5,4,2,5,9,3,7,1,4,2,2,,,,,,4,btg032000,bentley garrett,Numerical Analysis 
"Tran, Anh T","Acharya, Subas",,,,,MATH,4341,001,11,7,,4,2,1,3,4,3,2,1,,1,,,,,,1,att140830,anh tran,Topology 
"Hu, Qingwen",,,,,,MATH,5301,501,,5,12,2,2,1,,2,,,,,,,,,,,2,qxh102020,qingwen hu,Elementary Analysis I 
"Balanov, Zalman","Wu, Hao Pin",,,,,MATH,6301,501,,4,7,2,9,3,,,,,,,,,,,,,2,zxb105020,zalman balanov,Real Analysis 
"Hooshyar, Mohammad",,,,,,MATH,6315,001,,6,4,1,2,5,,,,,,,,,,,,,1,ali,mohammad hooshyar,Ordinary Differential Equations 
"Wu, Jiayi",,,,,,STAT,1342,001,6,11,3,5,5,3,5,6,2,2,4,,4,,,,,,3,jxw133130,jiayi wu,Statistical Decision Making 
"Efromovich, Sam",,,,,,STAT,4351,501,12,4,6,4,5,9,18,10,17,,,9,,,,,,,5,sxe062000,sam efromovich,Probability 
"Chen, Min","Islambekov, Umar",,,,,STAT,5351,001,,22,7,5,10,3,,,,,,,,,,,,,3,mxc136030,min chen,Probability and Statistics I 
"Efromovich, Sam",,,,,,STAT,6331,501,,5,3,3,,1,,1,,,,,,,,,,,1,sxe062000,sam efromovich,Statistical Inference I 
"Malko, Anton V",,,,,,PHYS,1100,001,,,,,,,,,,,,,,,68,,,,3,avm074000,anton malko,The Fun of Physics 
"Chen, Lunjin",,,,,,PHYS,1301,001,28,41,22,20,27,14,26,20,8,11,10,,15,,,,,,10,lxc134330,lunjin chen,College Physics I 
"Sun, Kuei","Zheng, Peng Peng",,,,,PHYS,2125,101,4,18,1,,2,2,,,,,,,1,,,,,,0,kxs147030,kuei sun,Physics Laboratory I 
"Sun, Kuei","Kahanda, Galathara L",,,,,PHYS,2125,102,5,23,1,,,,,,,,,,,,,,,,1,kxs147030,kuei sun,Physics Laboratory I 
"Sun, Kuei","Kahanda, Galathara L",,,,,PHYS,2125,103,11,13,1,,1,,,,,,,,2,,,,,,1,kxs147030,kuei sun,Physics Laboratory I 
"Sun, Kuei","Wang, Qing",,,,,PHYS,2125,114,17,11,,,,,,,,,1,,,,,,,,1,kxs147030,kuei sun,Physics Laboratory I 
"Sun, Kuei","Zheng, Yangzi",,,,,PHYS,2125,115,9,11,4,3,,1,1,,,,,,,,,,,,0,kxs147030,kuei sun,Physics Laboratory I 
"Macalevey, Paul J","Kramer, Aaron A",,,,,PHYS,2126,101,11,8,3,1,1,1,,,,,1,,1,,,,,,3,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Fernando, Bharana A",,,,,PHYS,2126,102,10,16,2,1,,,,,,,,,,,,,,,0,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Wang, Qiyue",,,,,PHYS,2126,104,11,12,2,2,1,2,,,,,,,,,,,,,0,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Steinle, Nathan A",,,,,PHYS,2126,105,3,9,11,4,1,,,,,,,,,,,,,,1,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Wijeratne, Lakitha O",,,,,PHYS,2126,107,8,14,6,2,,,,,,,,,,,,,,,0,paulmac,paul macalevey,Physics Laboratory II 
"Macalevey, Paul J","Wang, Qiyue",,,,,PHYS,2126,109,7,16,2,,2,3,,,,,,,,,,,,,0,paulmac,paul macalevey,Physics Laboratory II 
"Khan, Amena",,,,,,PHYS,2303,001,9,11,5,7,5,1,3,1,2,2,2,,5,,,,,,9,axk140130,amena khan,Contemporary Physics 
"Ishak-Boushaki, Mustapha",,,,,,PHYS,2325,001,49,26,22,21,27,23,5,20,15,5,11,6,16,,,,,,12,mxi054000,mustapha ishak boushaki,Mechanics 
"Glosser, Robert",,,,,,PHYS,2326,002,18,23,,8,21,11,8,7,10,,17,,11,,,,,,9,glosser,robert glosser,Electromagnetism and Waves 
"King, Lindsay J","Fong, Matthew","Choi, Miyoung","Rahmanian Koshkaki, Saeed",,,PHYS,2326,501,10,61,,22,30,14,31,34,40,12,2,,1,,,,,,6,lxk111430,lindsay king,Electromagnetism and Waves 
"Da Silveira Rodrigues, Fabiano","Proctor, Matthew S",,,,,PHYS,3330,001,,9,6,2,4,3,1,2,3,,,,5,,,,,,1,fxd121030,fabiano rodrigues,Numerical Methods in Physics and Computational Techniques 
"Anderson, Phillip C",,,,,,PHYS,3380,001,1,4,4,1,2,3,4,3,1,2,,,4,,,,,,4,pca015000,philip anderson,Astronomy 
"Malko, Anton V","Proctor, Matthew S",,,,,PHYS,3416,001,1,,2,2,4,9,,12,,,3,,7,,,,,,1,avm074000,anton malko,Electricity and Magnetism 
"Heelis, Roderick A","Zewdie, Gebreabkidanu",,,,,PHYS,5322,001,,3,6,1,3,,,,,,,,,,,,,,0,heelis,roderick heelis,Electromagnetism II 
"Pujana, Ignacio",,,,,,GEOS,1303,0W1,97,57,26,12,20,11,8,6,8,,4,5,9,,,,,,2,pujana,ignacio pujana,Physical Geology 
"Sun, Kuei","Khashami, Fatemeh",,,,,PHYS,2125,104,3,24,2,1,,,,,,,,,,,,,,,0,kxs147030,kuei sun,Physics Laboratory I 
"Macalevey, Paul J","Parish, Christopher R",,,,,PHYS,3411,001,2,3,9,4,3,,2,,,,,,,,,,,,1,paulmac,paul macalevey,Theoretical Physics 
"York, Megan",,,,,,NATS,1141,001,3,9,4,,1,1,,,,,,,,,,,,,4,mxy141130,megan york,UTeach STEP 1 
"Dorsey, Floyd Z",,,,,,NATS,1141,002,1,14,,,3,,,,,,,,2,,,,,,3,fzd110020,floyd dorsey,UTeach STEP 1 
"Donaldson, Katherine E",,,,,,NATS,1143,001,5,3,4,1,1,4,,,1,,,,,,,,,,1,ked013100,katie donaldson,UTeach STEP 2 
"Dingrando, Laurel P","Karakis, Merve",,,,,NATS,3341,002,3,10,8,1,2,2,,2,,,,,1,,,,,,0,lpd015000,laurel dingrando,Knowing and Learning in Mathematics and Science 
"McConnell, James S",,,,,,NATS,3343,001,,9,1,2,,,,,,,,,,,,,,,0,jsm019600,james mcconnell,Classroom Interactions 
"Montgomery, Homer A","Bettilyon, Crystal N","Newton, Kristen L","Gallardo, Johnny",,,NATS,4390,001,3,2,2,2,1,1,1,1,,,,,3,,,,,,3,mont,homer montgomery,Research Methods 
"Kelly, Mary Lena U","Baker, Wesley A",,,,,SCI,5331,501,,5,1,,1,,,,,,,,,,,,,,0,mlk023000,mary urquhart,Conceptual Physics I  Force and Motion 
"Manton, William I",,,,,,GEOS,5315,001,,11,6,6,3,1,,,,,,,,,,,,,0,manton,william manton,The Earth  An Overview 
"Lin, Wen J","Chen, Hao",,,,,BIOL,2281,306,2,4,9,3,2,1,1,,,,,,1,,,,,,0,wenju,wen ju lin,Introductory Biology Laboratory 
"Borovkov, Irina G","Wei, Hong",,,,,BIOL,4380,304,,3,2,2,4,3,2,,1,,,1,,,,,,,0,ixb053000,irina borovkov,Cell and Molecular Biology Laboratory 
"Minkoff, Susan E",,,,,,MATH,6313,001,,9,1,1,5,5,,3,,,,,1,,,,,,0,sem120030,susan minkoff,Numerical Analysis 
"Macalevey, Paul J","Yao, Ji",,,,,PHYS,5301,501,,21,5,4,3,,,,,,,,,,,,,,0,paulmac,paul macalevey,Mathematical Methods of Physics I 
"Kesden, Michael H","Yao, Ji",,,,,PHYS,5311,001,,10,4,10,8,,,1,,,,,,,,,,,0,mhk130030,michael kesden,Classical Mechanics 
"Cortes, Sergio J","Udamulle Gedara, Chinthaka Mahesh",,,,,CHEM,2123,101,21,7,2,,,,,,,,,,,,,,,,0,scortes,sergio cortes,Introductory Organic Chemistry Laboratory I 
"Cortes, Sergio J","Udamulle Gedara, Chinthaka Mahesh",,,,,CHEM,2123,102,17,10,2,,,,,,,,,,,,,,,,1,scortes,sergio cortes,Introductory Organic Chemistry Laboratory I 
"Wijenayake, Sumudu N","Wang, Hanghang",,,,,CHEM,2123,103,19,7,2,1,,,,,,,,,,,,,,,0,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory I 
"Shah, Shailesh N","Graham, Robert L","Ong, Whitney",,,,CHEM,2123,104,12,12,6,,,,,,,,,,,,,,,,0,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory I 
"Wijenayake, Sumudu N","Ong, Whitney",,,,,CHEM,2123,601,17,8,3,,,,,,,,,,,,,,,,0,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory I 
"Shah, Shailesh N","Lin, Jason",,,,,CHEM,2123,602,9,15,4,2,,,,,,,,,,,,,,,0,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory I 
"Shah, Shailesh N","Luzuriaga, Michael A",,,,,CHEM,2123,107,8,12,3,2,2,,,,,,,,1,,,,,,1,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory I 
"Tran, Daniel N","Saavedra, Daniel P",,,,,CHEM,2123,108,10,13,2,2,1,,1,,,,,,,,,,,,1,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory I 
"Shah, Shailesh N","Luzuriaga, Michael A",,,,,CHEM,2123,109,16,13,1,,,,,,,,,,,,,,,,0,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory I 
"Tran, Daniel N","Liyanage, Anuradha V",,,,,CHEM,2123,110,10,12,2,3,,,,,,,,,1,,,,,,2,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory I 
"Wijenayake, Sumudu N","Ahmadi-Tehrani, Dara",,,,,CHEM,2123,603,10,13,5,2,,,,,,,,,,,,,,,0,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory I 
"Tran, Daniel N","Lin, Jason",,,,,CHEM,2123,604,11,6,7,3,1,,,,,,,,,,,,,,2,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory I 
"Tran, Daniel N","Graham, Robert L",,,,,CHEM,2123,113,13,11,4,,,,,,1,,,,,,,,,,1,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory I 
"Shah, Shailesh N","Diwakara Mohottalalage, Shashini Devika D",,,,,CHEM,2125,101,6,14,7,,,,,,,,,,,,,,,,2,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory II 
"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,,CHEM,2125,102,14,7,3,2,,,1,,,,,,,,,,,,1,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory II 
"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,,CHEM,2125,103,11,12,2,2,,,,,,,,2,,,,,,,1,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory II 
"Nguyen, Mylinh T",,,,,,MATH,2413,001,7,12,3,6,3,3,1,3,2,1,1,1,4,,,,,,0,mln018200,mylinh nguyen,Differential Calculus 
"Nguyen, Mylinh T",,,,,,MATH,2413,002,7,6,7,6,5,5,1,1,2,,2,2,3,,,,,,1,mln018200,mylinh nguyen,Differential Calculus 
"Lewis, David L",,,,,,MATH,2414,003,2,2,3,3,2,4,4,7,6,2,3,,9,,,,,,1,dlewis,,Integral Calculus 
"Aman, Kelly",,,,,,MATH,2312,003,8,4,3,4,5,4,1,4,1,1,,2,10,,,,,,1,kxa143530,kelly aman,Precalculus 
