Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CHEM,1111,144,5,2,3,3,1,1,2,2,2,,,,7,,,,,2,"Dissanayake, Dushanthi S","Bonnand, Evan F",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,146,2,2,1,3,5,1,1,1,,1,,3,5,,,,,2,"Dissanayake, Dushanthi S","Babanyinah, Godwin K",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,147,1,6,3,,1,,1,2,1,,1,,8,,,,,1,"Dissanayake, Dushanthi S","Heidari, Sahar",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,150,7,7,4,1,2,,,,,,,1,4,,,,,3,"Qin, Yanping","Babanyinah, Godwin K",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,151,16,3,5,2,,1,,,,,,,2,,,,,1,"Gavva, Sandhya R","Al-Kharji, Noora M",,,,,sgavva,sandhya gavva,General Chemistry Laboratory I 
CHEM,1111,601,5,4,5,2,3,,,1,,2,1,1,6,,,,,0,"Sisk, Joshua R","Trashi, Ikeda",,,,,jrs106020,joshua sisk,General Chemistry Laboratory I 
CHEM,1111,602,1,4,3,3,3,3,3,1,,1,,,6,,,,,2,"Sisk, Joshua R","Bonnand, Evan F",,,,,jrs106020,joshua sisk,General Chemistry Laboratory I 
CHEM,1111,605,5,9,3,3,3,1,,,1,,,,4,,,,,1,"Sisk, Joshua R","Kumari, Sneha",,,,,jrs106020,joshua sisk,General Chemistry Laboratory I 
CHEM,1111,607,4,8,5,,1,2,1,,2,,,2,3,,,,,2,"Sisk, Joshua R","Martinez Garcia, Jonathan",,,,,jrs106020,joshua sisk,General Chemistry Laboratory I 
CHEM,1111,609,8,5,2,1,1,1,,1,2,1,,1,2,,,,,1,"Hashami, Zohreh","Giri, Sachin",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory I 
CHEM,1111,612,8,2,,1,2,3,,2,,,3,1,6,,,,,2,"Hashami, Zohreh","Saleh, Mohammad S",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory I 
CHEM,1112,101,5,2,1,3,1,2,,3,1,,,1,8,,,,,3,"Anka, Fadwa H","Johnson, Rebecca M",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,102,4,2,4,3,,1,2,1,2,,1,1,3,,,,,5,"Qin, Yanping","Mihranyan, Andranik",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,103,8,3,5,1,1,1,3,,1,1,,2,2,,,,,2,"Panangala, Samitha D","Johnson, Rebecca M",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
