Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
PHYS,2125,1U4,1,11,,,,,,,,,,,2,,,"Sun, Kuei","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .","Panthi, Hari P",,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2126,1U1,22,7,,2,,,,,,,,,,,,"Macalevey, Paul J","Dey, Soumyajit",,,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2126,1U2,17,6,4,,,,,,,,,,2,,,"Macalevey, Paul J","Fluckey, Stephen P",,,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2126,1U3,18,6,1,1,,,1,,,,,,,,,"Macalevey, Paul J","Koirala, Pawan",,,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2126,1U4,12,9,7,1,,,,,,,,,,,,"Macalevey, Paul J","Larsen, Cody",,,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2325,0U1,17,30,7,1,2,,1,1,1,,1,,2,,,"Ishak-Boushaki, Mustapha","Chinthak Murali, .","Waczak, John",,,,mxi054000,mustapha ishak boushaki,Mechanics 
PHYS,2326,0U1,1,32,27,21,5,2,2,,,,1,1,,,,"Gartstein, Yuri","Romero, Angel E","Du, Mengxin",,,,yxg037000,yuri gartstein,Electromagnetism and Waves 
PPPE,7V26,0U1,,21,,,,,,,,,,,,,,"Elliott, Euel W","Yuan, Jing",,,,,eelliott,euel elliott,Policy Research Workshop in Institutions and Processes  (3 Semester Credit Hours)
PSCI,3310,0U1,6,5,9,3,2,1,2,,,1,1,,,,,"Rabbi, Md. Fazle",,,,,,mxr163630,md fazle rabbi,Managing Government Organizations 
PSCI,3323,0U1,9,9,14,4,2,1,,,2,,,,,,,"Parker, Misty D",,,,,,mxp045000,misty parker,American Federalism 
PSY,2301,0H1,9,8,10,8,4,3,1,,1,1,,1,6,,,"Brody, Salena M","Redig, Samantha L",,,,,smb051000,salena brody,Introduction to Psychology 
PSY,2317,0U1,,,10,4,3,2,1,2,,2,1,,2,,,"Schwark, Gayle","Malaiya, Ritesh K",,,,,gxs180015,gayle schwark,Statistics for Psychology 
PSY,3310,5U1,5,7,8,8,6,8,2,3,4,,,1,3,,,"Smith, Olivia","Hafiz, Mariam",,,,,oxs140330,olivia smith,Child Development 
PSY,3331,0U1,,50,8,3,6,1,1,5,2,1,3,,8,,,"Huxtable-Jester, Karen J","Zhu, Yiyi",,,,,kxh014900,karen huxtable jester,Social Psychology 
PSY,3342,0U1,15,12,2,2,,,,,1,,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,,jwb043000,john barfoot,Exceptional Children 
PSY,3360,0U1,1,6,10,19,9,8,5,3,1,2,,,3,,,"Assmann, Peter","Pattisapu, Candice N",,,,,assmann,peter assmann,Historical Perspectives on Psychology  Mind and Machines since 1600 
PSY,3361,0U1,4,3,19,2,8,3,4,3,2,3,2,,3,,,"Cavazos, Jacqueline G","Lung, Tzu-Chen",,,,,jxc162330,,Cognitive Psychology 
PSY,3370,0U1,45,9,10,6,1,1,2,1,,,,,2,,,"Helfers, Samantha","Williams, Denise D",,,,,sxh161130,,Positive Psychology 
PSY,3392,0U1,13,12,6,1,9,1,,1,,,,,4,,,"Schwark, Gayle","Gryder, Kieth",,,,,gxs180015,gayle schwark,Research Design and Analysis 
PSY,3393,0U1,,2,1,5,4,2,2,2,1,1,,,,,,"Ybarra, Regina K","Mizener, Brendon J",,,,,rky190000,regina ybarra,Experimental Projects in Psychology 
PSY,3393,5U1,4,2,1,4,1,,2,,,,,,2,,,"Raman, Rachna","Holmes, Melanie C",,,,,rxr076000,rachna raman,Experimental Projects in Psychology 
PSY,4343,0U1,,43,13,11,11,1,1,4,3,1,,,2,,,"Ybarra, Regina K","Wu, Sining",,,,,rky190000,regina ybarra,Abnormal Psychology 
PSY,4346,0U1,24,31,2,4,5,,2,1,2,,1,1,2,,,"Gentsch, Joanna K","Wilder, Siri",,,,,jgentsch,joanna gentsch,Human Sexuality 
PSY,4V90,0H1,,3,9,3,1,,1,,,,,,,,,"Brody, Salena M",,,,,,smb051000,salena brody,Special Topics in Psychology 
REAL,3305,5U1,,3,1,,6,3,,1,1,,,,1,,,"Guttery, Randall",,,,,,rxg112530,randall guttery,Real Estate Principles 
REAL,6321,5U1,,6,1,,8,2,,3,,,,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery,Introduction to Real Estate 
RHET,1302,051,,9,2,2,2,,,,,,,,1,,,"Ma, Ying",,,,,,yxm171930,ying ma,Rhetoric 
RHET,1302,052,2,5,2,1,,,1,2,,,,,,,,"Crawford, Rachel",,,,,,rxc161430,rachel crawford,Rhetoric 
RHET,1302,053,1,5,,1,2,1,,,,,,1,1,,,"Hasan, Syeda Nadia",,,,,,sxh190004,syeda hasan,Rhetoric 
RHET,1302,054,,12,,1,1,,,,,,,,1,,,"Mathur, Shivika",,,,,,sxm170012,shivika mathur,Rhetoric 
RHET,1302,055,1,4,4,1,2,,2,1,,1,,,2,,,"Ocasio-Russe, Lizbette",,,,,,lxo160130,lizbette ocasio russe,Rhetoric 
RHET,1302,091,4,7,2,3,,,1,,,,,,1,,,"Murphy, Trisha",,,,,,tam160330,trisha murphy,Rhetoric 
RHET,1302,092,,9,,,,,,,,,,,1,,,"Howard Cuadros, Esther W",,,,,,exh022000,,Rhetoric 
SE,3306,0U1,,8,,1,6,,,2,,,,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage,Mathematical Foundations of Software Engineering 
SE,4381,0U1,1,1,1,1,5,1,,,,,,,,,,"Paulk, Mark C","Yu, Linlin",,,,,mcp130030,mark paulk,Software Project Planning and Management 
SE,6388,5U1,,8,1,1,,,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,,kxs180052,klyne smith,Software Project Planning and Management 
SE,6388,MU1,,5,5,1,,,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,,kxs180052,klyne smith,
SOC,1301,0W1,12,15,1,1,5,2,,4,,,1,1,2,,,"Malek-Ahmadi, John H",,,,,,jhm110020,john malek ahmadi,Introduction to Sociology 
SOC,3379,0U1,6,2,1,2,,,,,,,,,,,,"Upoma, Shahrin S",,,,,,ssu170230,shahrin upoma,Diversity in the Public Sector 
SPAU,3342,0U1,4,10,1,,,1,1,,,,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,,jwb043000,john barfoot,Exceptional Children 
SPAU,4394,051,,26,,,8,,,1,,,,,,,,"Kaplan, Karen",,,,,,kkaplan,karen kaplan,Multicultural Aspects of Communication Disorders 
STAT,2332,0U1,18,4,2,2,3,1,,3,,1,1,,1,,,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen,
STAT,2332,0U2,2,3,2,3,4,4,,1,,,,,,,,"Guo, Huizhen","Sajal, Ibrahim Hossain","Uddin, Mohammad Afser",,,,hxg190020,huizhen guo,Introductory Statistics for Life Sciences 
STAT,4351,0U1,,5,,3,,,,3,1,,1,1,1,,,"Koshevnik, Yuly","Wickramasinghe, Wickramasinghe M",,,,,yxk055000,yuly koshevnik,Probability 
SYSM,6327,SU1,,17,,,,,,,,,,,,,,"Reynolds, Samuel E",,,,,,ser180002,samuel reynolds,
SYSM,6334,SU1,,5,3,2,,2,,,,,,,,,,"Shrivastava, Prakash C",,,,,,pcs130130,prakash shrivastava,
THEA,1310,091,,14,4,2,2,,,,,,,,,,,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs,Understanding Theatre  (3 Semester Credit Hours)
UNIV,2V96,0U1,,,,,,,,,,,,,,25,,"Maitra, Meenakshi","Turcatti, Andrea M","Edwards, Kimberly J","Ho, Karl","Bennett, Terrell R",,mxm172731,meenakshi maitra,
